"date","currency","rate"
2003-09-06,"TRL",99999.99999
2003-09-06,"ZAR",7.3997
2003-09-06,"EUR",0.9155
2003-09-07,"USD",1
2003-09-07,"AUD",1.5557
2003-09-07,"BGN",1.7823
2003-09-07,"CAD",1.3734
2003-09-07,"CHF",1.4103
2003-09-07,"CYP",0.53342
2003-09-07,"CZK",29.861
2003-09-07,"DKK",6.7989
2003-09-07,"EEK",14.325
2003-09-07,"GBP",0.63343
2003-09-07,"HKD",7.7993
2003-09-07,"HUF",233.96
2003-09-07,"ISK",80.839
2003-09-07,"JPY",116.85
2003-09-07,"KRW",1170.6
2003-09-07,"LTL",3.1615
2003-09-07,"LVL",0.57686
2003-09-07,"MTL",0.3889
2003-09-07,"NOK",7.5405
2003-09-07,"NZD",1.7506
2003-09-07,"PLN",4.0655
2003-09-07,"ROL",34297
2003-09-07,"SEK",8.3494
2003-09-07,"SGD",1.7562
2003-09-07,"SIT",215.31
2003-09-07,"SKK",38.222
2003-09-07,"TRL",99999.99999
2003-09-07,"ZAR",7.3997
2003-09-07,"EUR",0.9155
2003-09-08,"USD",1
2003-09-08,"AUD",1.5472
2003-09-08,"BGN",1.7586
2003-09-08,"CAD",1.3725
2003-09-08,"CHF",1.3895
2003-09-08,"CYP",0.52628
2003-09-08,"CZK",29.705
2003-09-08,"DKK",6.7093
2003-09-08,"EEK",14.133
2003-09-08,"GBP",0.63093
2003-09-08,"HKD",7.7994
2003-09-08,"HUF",231.56
2003-09-08,"ISK",80.526
2003-09-08,"JPY",116.89
2003-09-08,"KRW",1171.4
2003-09-08,"LTL",3.1192
2003-09-08,"LVL",0.57384
2003-09-08,"MTL",0.38488
2003-09-08,"NOK",7.4496
2003-09-08,"NZD",1.7353
2003-09-08,"PLN",3.9959
2003-09-08,"ROL",34014
2003-09-08,"SEK",8.2454
2003-09-08,"SGD",1.7558
2003-09-08,"SIT",212.36
2003-09-08,"SKK",37.729
2003-09-08,"TRL",99999.99999
2003-09-08,"ZAR",7.5175
2003-09-08,"EUR",0.90326
2003-09-09,"USD",1
2003-09-09,"AUD",1.5301
2003-09-09,"BGN",1.7481
2003-09-09,"CAD",1.3698
2003-09-09,"CHF",1.3863
2003-09-09,"CYP",0.52308
2003-09-09,"CZK",29.443
2003-09-09,"DKK",6.672
2003-09-09,"EEK",14.052
2003-09-09,"GBP",0.63089
2003-09-09,"HKD",7.7995
2003-09-09,"HUF",230.1
2003-09-09,"ISK",80.602
2003-09-09,"JPY",116.36
2003-09-09,"KRW",1169
2003-09-09,"LTL",3.1011
2003-09-09,"LVL",0.57207
2003-09-09,"MTL",0.38339
2003-09-09,"NOK",7.4145
2003-09-09,"NZD",1.7243
2003-09-09,"PLN",3.9746
2003-09-09,"ROL",33838
2003-09-09,"SEK",8.2019
2003-09-09,"SGD",1.7562
2003-09-09,"SIT",211.06
2003-09-09,"SKK",37.396
2003-09-09,"TRL",99999.99999
2003-09-09,"ZAR",7.4994
2003-09-09,"EUR",0.89807
2003-09-10,"USD",1
2003-09-10,"AUD",1.5201
2003-09-10,"BGN",1.7422
2003-09-10,"CAD",1.3677
2003-09-10,"CHF",1.3875
2003-09-10,"CYP",0.52146
2003-09-10,"CZK",29.399
2003-09-10,"DKK",6.6469
2003-09-10,"EEK",14.006
2003-09-10,"GBP",0.62925
2003-09-10,"HKD",7.7991
2003-09-10,"HUF",229.45
2003-09-10,"ISK",80.299
2003-09-10,"JPY",116.82
2003-09-10,"KRW",1169
2003-09-10,"LTL",3.0909
2003-09-10,"LVL",0.57152
2003-09-10,"MTL",0.38265
2003-09-10,"NOK",7.4141
